Date_IntervalStart,TotalVolumetime_shift,TotalVolume,day_of_week,week_diff,year_diff,year_and_week_diff,week_and_2month_diff
2015-07-08 00:00:00,19.0,25,2,6.0,,,
2015-07-08 01:00:00,16.0,16,2,0.0,,,
2015-07-08 02:00:00,11.0,13,2,2.0,,,
2015-07-08 03:00:00,12.0,15,2,3.0,,,
2015-07-08 04:00:00,40.0,48,2,8.0,,,
2015-07-08 05:00:00,194.0,185,2,-9.0,,,
2015-07-08 06:00:00,778.0,816,2,38.0,,,
2015-07-08 07:00:00,1024.0,955,2,-69.0,,,
2015-07-08 08:00:00,1011.0,1002,2,-9.0,,,
2015-07-08 09:00:00,1045.0,905,2,-140.0,,,
2015-07-08 10:00:00,758.0,756,2,-2.0,,,
2015-07-08 11:00:00,700.0,746,2,46.0,,,
2015-07-08 12:00:00,814.0,795,2,-19.0,,,
2015-07-08 13:00:00,736.0,717,2,-19.0,,,
2015-07-08 14:00:00,683.0,658,2,-25.0,,,
2015-07-08 15:00:00,741.0,804,2,63.0,,,
2015-07-08 16:00:00,810.0,868,2,58.0,,,
2015-07-08 17:00:00,952.0,981,2,29.0,,,
2015-07-08 18:00:00,950.0,794,2,-156.0,,,
2015-07-08 19:00:00,511.0,183,2,-328.0,,,
2015-07-08 20:00:00,343.0,331,2,-12.0,,,
2015-07-08 21:00:00,300.0,197,2,-103.0,,,
2015-07-08 22:00:00,155.0,197,2,42.0,,,
2015-07-08 23:00:00,42.0,90,2,48.0,,,
2015-07-09 00:00:00,30.0,24,3,-6.0,,,
2015-07-09 01:00:00,17.0,17,3,0.0,,,
2015-07-09 02:00:00,14.0,10,3,-4.0,,,
2015-07-09 03:00:00,13.0,17,3,4.0,,,
2015-07-09 04:00:00,33.0,35,3,2.0,,,
2015-07-09 05:00:00,199.0,173,3,-26.0,,,
2015-07-09 06:00:00,880.0,801,3,-79.0,,,
2015-07-09 07:00:00,1033.0,946,3,-87.0,,,
2015-07-09 08:00:00,1001.0,1047,3,46.0,,,
2015-07-09 09:00:00,1009.0,908,3,-101.0,,,
2015-07-09 10:00:00,779.0,706,3,-73.0,,,
2015-07-09 11:00:00,763.0,806,3,43.0,,,
2015-07-09 12:00:00,816.0,883,3,67.0,,,
2015-07-09 13:00:00,746.0,722,3,-24.0,,,
2015-07-09 14:00:00,624.0,688,3,64.0,,,
2015-07-09 15:00:00,803.0,763,3,-40.0,,,
2015-07-09 16:00:00,890.0,815,3,-75.0,,,
2015-07-09 17:00:00,976.0,1034,3,58.0,,,
2015-07-09 18:00:00,1023.0,986,3,-37.0,,,
2015-07-09 19:00:00,549.0,591,3,42.0,,,
2015-07-09 20:00:00,361.0,388,3,27.0,,,
2015-07-09 21:00:00,296.0,331,3,35.0,,,
2015-07-09 22:00:00,202.0,195,3,-7.0,,,
2015-07-09 23:00:00,81.0,84,3,3.0,,,
2015-07-10 00:00:00,70.0,18,4,-52.0,,,
2015-07-10 01:00:00,46.0,15,4,-31.0,,,
2015-07-10 02:00:00,16.0,14,4,-2.0,,,
2015-07-10 03:00:00,17.0,10,4,-7.0,,,
2015-07-10 04:00:00,33.0,35,4,2.0,,,
2015-07-10 05:00:00,194.0,171,4,-23.0,,,
2015-07-10 06:00:00,819.0,725,4,-94.0,,,
2015-07-10 07:00:00,1054.0,965,4,-89.0,,,
2015-07-10 08:00:00,1072.0,1001,4,-71.0,,,
2015-07-10 09:00:00,978.0,914,4,-64.0,,,
2015-07-10 10:00:00,799.0,809,4,10.0,,,
2015-07-10 11:00:00,793.0,826,4,33.0,,,
2015-07-10 12:00:00,861.0,831,4,-30.0,,,
2015-07-10 13:00:00,777.0,788,4,11.0,,,
2015-07-10 14:00:00,713.0,767,4,54.0,,,
2015-07-10 15:00:00,855.0,867,4,12.0,,,
2015-07-10 16:00:00,927.0,888,4,-39.0,,,
2015-07-10 17:00:00,1018.0,958,4,-60.0,,,
2015-07-10 18:00:00,950.0,953,4,3.0,,,
2015-07-10 19:00:00,651.0,562,4,-89.0,,,
2015-07-10 20:00:00,370.0,355,4,-15.0,,,
2015-07-10 21:00:00,303.0,320,4,17.0,,,
2015-07-10 22:00:00,256.0,211,4,-45.0,,,
2015-07-10 23:00:00,120.0,106,4,-14.0,,,
2015-07-11 00:00:00,56.0,64,5,8.0,,,
2015-07-11 01:00:00,26.0,37,5,11.0,,,
2015-07-11 02:00:00,21.0,24,5,3.0,,,
2015-07-11 03:00:00,14.0,28,5,14.0,,,
2015-07-11 04:00:00,36.0,33,5,-3.0,,,
2015-07-11 05:00:00,96.0,111,5,15.0,,,
2015-07-11 06:00:00,363.0,315,5,-48.0,,,
2015-07-11 07:00:00,418.0,459,5,41.0,,,
2015-07-11 08:00:00,517.0,537,5,20.0,,,
2015-07-11 09:00:00,619.0,602,5,-17.0,,,
2015-07-11 10:00:00,733.0,745,5,12.0,,,
2015-07-11 11:00:00,819.0,849,5,30.0,,,
2015-07-11 12:00:00,935.0,914,5,-21.0,,,
2015-07-11 13:00:00,871.0,817,5,-54.0,,,
2015-07-11 14:00:00,764.0,759,5,-5.0,,,
2015-07-11 15:00:00,720.0,737,5,17.0,,,
2015-07-11 16:00:00,647.0,714,5,67.0,,,
2015-07-11 17:00:00,838.0,869,5,31.0,,,
2015-07-11 18:00:00,812.0,902,5,90.0,,,
2015-07-11 19:00:00,606.0,650,5,44.0,,,
2015-07-11 20:00:00,378.0,346,5,-32.0,,,
2015-07-11 21:00:00,255.0,267,5,12.0,,,
2015-07-11 22:00:00,232.0,258,5,26.0,,,
2015-07-11 23:00:00,161.0,142,5,-19.0,,,
2015-07-12 00:00:00,108.0,94,6,-14.0,,,
2015-07-12 01:00:00,50.0,71,6,21.0,,,
